Drug Class,Medications,AHA Lab Trigger,Caution Headline,Caution Note,ICD-10 Diagnostic Code,SNOMED,,
CV: Alpha-adrenergic agonists,"Clonidine, Guanfacine, Guanabenz, Dexmedetomidine","dysfunctional or problematic lung, heart, liver, or kidney issues; abnormal sodium, potassium, chloride, magnesium, or phosphorus level",Adverse effect of agent primarily affecting cardiovascular system,"The medication decreases the release of the stress hormone norepinephrine and constricts arterial blood flow. It can present as a dysregulated heart rate, high or low blood pressure, and cognitive issues (i.e., anxiety, depression, sleep trouble) and increase the risk of a heart attack, stroke, blood clot, and multiorgan damage. ",T46.905A,293416008,,
CV: Loop diuretics       ,"Bumetanide (Bumex), Ethacrynic acid (Edecrin), Furosemide (Lasix), Torsemide (Demadex, Soaanz), ","dysfunctional or problematic lung, heart, liver, or kidney issues; abnormal sodium, potassium, chloride, magnesium, vitamin D, or phosphorus level",Side effect of potassium wasting diuretic,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. It can present as an irregular heart rhythm, high or low blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It can cause brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T50.2X5A,293468001,,
CV: Thiazide diuretics  ,"Hydrochlorothiazide (Esidrix), Chlorthalidone (Thalitone), Chlorothiazide (Diuril), Bendroflumethiazide, Indapamide, Metolazone","dysfunctional or problematic lung, heart, liver, thyroid, or kidney issues; abnormal sodium, potassium, chloride, magnesium, vitamin D, or phosphorus level; abnormally high blood glucose, or HbA1c level",Side effect of potassium wasting diuretic,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. It can present as an irregular heart rhythm, high or low blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It can cause brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T50.2X5A,293468001,,
CV: Potassium-sparing diuretics       ,"Amiloride, Triamterene","dysfunctional or problematic lung, heart, liver, or kidney issues; abnormal sodium, potassium, chloride, magnesium, vitamin D, or phosphorus level",Adverse effect of agent primarily affecting cardiovascular system,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. It can present as an irregular heart rhythm, high or low blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It can cause brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T46.905A,293416008,,
CV: aldosterone antagonist,"Eplerenone, Finerenone","dysfunctional or problematic lung, heart, liver, or kidney issues; abnormal sodium, potassium, chloride, magnesium, vitamin D, or phosphorus level",Adverse effect of aldosterone antagonist,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. It can present as an irregular heart rhythm, high or low blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It can cause brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T50.0X5A,293470005,,
CV: aldosterone antagonist,Spironolactone (Aldactone),"dysfunctional or problematic lung, heart, liver, or kidney issues; abnormal sodium, potassium, chloride, magnesium, vitamin D, or phosphorus level",Side effect of spironolactone,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. It can present as an irregular heart rhythm, high or low blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It can cause brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T50.0X5A,293472002,,
CV: Diuretics  -- Carbonic anhydrase inhibitors             ,"Acetazolamide, Dorzolamide, Methazolamide, Brinzolamide, Diclofenamide, Ethoxzolamide, Zonisamide","dysfunctional or problematic lung, heart, liver, or kidney issues; abnormal sodium, potassium, chloride, magnesium, vitamin D, or phosphorus level",Adverse effect of agent primarily affecting cardiovascular system,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. It can present as an irregular heart rhythm, high or low blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It can cause brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T46.905A,293416008,,
CV: Sodium channel blockers,"Disopyramide (Norpace), Flecainide, Mexiletine, Propafenone (Rythmol), Quinidine","dysfunctional or problematic lung, heart, liver, or kidney issues",Adverse effect of agent primarily affecting cardiovascular system,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. It can present as an irregular heart rhythm, high or low blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It can cause brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T46.905A,293416008,,
CV: Beta blockers,"Nadolol (Corgard), atenolol (Tenormin), propranolol (Inderal), bisoprolol (Zebeta), carvedilol (Coreg), labetalol (Trandate), metoprolol (Lopressor, Toprol XL), nebivolol (Bystolic), pindolol (Visken),  betaxolol (Kerlone), timolol (Blocadren). ","dysfunctional or problematic lung, pancreas, liver, heart, thyroid gland, or small intestine issues; abnormally high blood glucose or HbA1c level ",Adverse effect of agent primarily affecting cardiovascular system,"The medication slows down the heart rate (bradycardia), blood pressure (orthostatic hypotension), and the activity of hormones lipase and insulin. By decreasing glucose uptake into cells and fat breakdown, the drug can cause excess fat to deposit into various organs and injured blood vessels and trigger inflammatory processes. This can present as dizziness, fatigue, cold hands and feet, nausea, gut issues, sexual dysfunction, and difficulty breathing, among other symptoms.",T46.905A,293416008,,
CV: Beta blockers,Acebutolol (Sectral),"dysfunctional or problematic lung, pancreas, liver, heart, thyroid gland, or small intestine issues; abnormally high blood glucose or HbA1c level ",Adverse effect of acebutolol,"The medication slows down the heart rate (bradycardia), blood pressure (orthostatic hypotension), and the activity of hormones lipase and insulin. By decreasing glucose uptake into cells and fat breakdown, the drug can cause excess fat to deposit into various organs and injured blood vessels and trigger inflammatory processes. This can present as dizziness, fatigue, cold hands and feet, nausea, gut issues, sexual dysfunction, and difficulty breathing, among other symptoms.",T44.7X5A,292421000,,
CV: antiarrhythmic,"Dronedarone, Amiodarone, Sotalol, Digoxin, Digitoxin, Acetyldigoxin, Deslanoside, Ouabain, Oleandrin, Bufalin, Marinobufagenin, Aerobufagenin, Telocinobufagin, Proscillaridin, Dofetilide","dysfunctional or problematic lung, liver, heart, thyroid, or small intestine issues",Adverse effect of agent primarily affecting cardiovascular system,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. It can present as an irregular heart rhythm, high or low blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It can cause brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T46.905A,293416008,,
CV: antiarrhythmic,Adenosine,"dysfunctional or problematic lung, liver, heart, thyroid, or small intestine issues",Adverse effect of adenosine,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. It can present as an irregular heart rhythm, high or low blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It can cause brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T46.2X5A,293437000,,
CV: antiarrhythmic,Dextromethorphan-quinidine,"dysfunctional or problematic lung, liver, heart, or small intestine issues",Adverse effect of agent primarily affecting cardiovascular system,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. It can present as an irregular heart rhythm, high or low blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It can cause brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T46.905A,293416008,,
CV: Angiotensin-converting enzyme (ACE) inhibitors,"captopril (Capoten), enalapril (Vasotec, Epaned), and lisinopril (Prinivil, Zestril, Qbrelis), Benazepril (Lotensin), Cilazapril (Inhibace), Fosinopril (Monopril), Moexipril (Univasc), Perindopril (Aceon, Coversyl), Quinapril (Accupril), Ramipril (Altace), Trandolapril (Mavik)","dysfunctional or problematic kidney, lung, or small intestine issues ",Adverse effect of agent primarily affecting cardiovascular system,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. It can present as an irregular heart rhythm, high or low blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It can cause brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T46.905A,293416008,,
CV: angiotensin-receptor blockers (ARBs),"Atacand (candesartan), Avapro (irbesartan), Benicar (olmesartan), Cozaar (losartan), Diovan (valsartan), Micardis (telmisartan), Teveten (eprosartan), Edarbi (azilsartan)","dysfunctional or problematic kidney, lung, or small intestine issues ",Adverse effect of agent primarily affecting cardiovascular system,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. It can present as an irregular heart rhythm, high or low blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It can cause brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T46.905A,293416008,,
CV: Cholesterol-lowering medications -- statins,"Atorvastatin, Simvastatin, Pravastatin, Rosuvastatin, Pitavastatin (Livalo), Fluvastatin (lescol), Lovastatin (Altoprev)","dysfunctional or problematic liver, pancreas, small intestine, thyroid, or kidney issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, hemoglobin, red blood cell (RBC), vitamin D, or hematocrit level",Complication of statin therapy,"The medication inhibits the enzyme HMG-CoA-reductase and the synthesis of cholesterol and various hormones. Metabolic pathways are altered, reducing dietary fat and protein breakdown and elevating blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer growth.",T46.6X5A,62014003,,
CV: Cholesterol-lowering medications -- Bile acid sequestrants,"Cholestyramine (Questran, Prevalite), Colesevelam (Welchol), Colestipol (Colestid)","dysfunctional or problematic liver, pancreas, small intestine, thyroid, or kidney issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, hemoglobin, red blood cell (RBC), vitamin D, or hematocrit level",Adverse effect of agent primarily affecting cardiovascular system,"The medication impairs bile acid reutilization and the transportation of cholesterol and B vitamins to peripheral tissues. Metabolic pathways are altered, reducing dietary fat and protein breakdown and raising blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer growth.",T46.905A,293416008,,
CV: Cholesterol-lowering medications -- PCSK9 inhibitors,"Alirocumab, Evolocumab, Inclisiran (Leqvio)","dysfunctional or problematic liver, pancreas, small intestine, thyroid, or kidney issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, hemoglobin, red blood cell (RBC), vitamin D, or hematocrit level",Adverse effect of agent primarily affecting cardiovascular system,"The medication impairs the transportation of cholesterol to peripheral tissues. Metabolic pathways are altered, reducing dietary fat and protein breakdown and raising blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer growth.",T46.905A,293416008,,
CV: Cholesterol-lowering medications -- Fibrates,"Fenofibrate (Antara, Fenoglide, Lipofen, TriCor, Triglide, Fibricor, Lofibra), Gemfibrozil (Lopid), Clofibrate (Atromid-S), Bezafibrate, Ciprofibrate, Choline fenofibrate, Clinofibrate, Clofibride, Nafenopin, Ronifibrate, Simfibrate, and Etofibrate.","dysfunctional or problematic liver, pancreas, small intestine, thyroid, or kidney issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, hemoglobin, red blood cell (RBC), vitamin D, or hematocrit level",Adverse effect of agent primarily affecting cardiovascular system,"The medication increases the activity of the enzyme lipoprotein lipase and dietary fat breakdown. Metabolic pathways are altered, reducing dietary fat and protein breakdown, raising blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer growth.",T46.905A,293416008,,
CV: Cholesterol-lowering medications ,"Bempedoic acid (nexletol), Ezetimibe","dysfunctional or problematic liver, pancreas, small intestine, thyroid, or kidney issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, hemoglobin, red blood cell (RBC), vitamin D, or hematocrit level",Adverse effect of agent primarily affecting cardiovascular system,"The medication impairs the transportation of cholesterol to peripheral tissues. Metabolic pathways are altered, reducing dietary fat and protein breakdown, raising blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer growth.",T46.905A,293416008,,
CV: Phosphodiesterase III inhibitors,"Sildenafil (Viagra), Vardenafil (Levitra), Tadalafil (Cialis), Milrinone, Anagrelide, Dobutamine ","dysfunctional or problematic liver, heart, or kidney issues; abnormal bilirubin, BUN, total protein, CRP, hs-CRP, cardiac CRP, hemoglobin, red blood cell count, or hematocrit level",Adverse effect of agent primarily affecting cardiovascular system,"The medication blocks the break down of the enzyme cyclic adenosine, dilates blood vessels, and increases heart contractility, heart rate (tachycardia), and blood pressure. This can. cause various symptoms, such as dizziness, fainting spelling, headaches, nausea, flushing/hot flashes, and orthostatic hypotension (also called POTS syndrome -- a sudden drop in blood pressure that occurs with changing position from sitting to standing) -- and increase the risk of blood clots, bleeding in various organs, heart attack, stroke, and all-cause mortality. ",T46.905A,293416008,,
,,,,,,,,
Analegsics,"Diclofenac, Ibuprofen, Indomethacin, Diflunisal, Etodolac, Naproxen (naprosyn), Fluribiprofen, Fenoprofen, Aspirin, Nabumetone, Oxaprozin, Piroxicam, Celecoxib (Celebrex), Mefenamic acid, Ketoprofen, Ketorolac, Meloxicam, Sulindac, Tolmetin, Voltaren, Salsalate ","dysfunctional or problematic organ issue; abnormal hematocrit, red blood cell (RBC), BUN, total protein, CRP, hs-CRP, cardiac CRP, vitamin D, or bilirubin level",Side effect of drug,"The medication prevents blood clot formation and increases the risk of excess bleeding in various organs, such as the respiratory tract, brain, and gut. It can present as blood in the gums, nose, urine, stool, or under the skin; gastrointestinal tract ulcer, dysregulated blood pressure, dizziness, orthostatic hypotension, irregular heart rate, and irregular heart rhythm, and increase the risk of heart attack, stroke, and multiorgan damage. ",T88.7XXA,69449002,,
Analegsics: Opioids,"Oxycodone, Hydromorphone, Codeine, Fentanyl, Hydrocodone, Morphine, Methadone, Buprenorphine, Tamadol, Oxymorphone, Meperidine, Tapentadol, Diamorphine, Levorphanol tartrate","dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, cardiac CRP, vitamin D, or bilirubin level",Side effect of drug,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. It can present as an irregular heart rhythm, high or low blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It can cause brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T88.7XXA,69449002,,
Analegsics: Skeletal muscle relaxants ,"Carisoprodol, Chlorzoxazone, Cyclobenzaprine, Metaxalone, Methacarbamol, Orphenadrine, Baclofen, Tizanidine, Dantrolene","dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, cardiac CRP, vitamin D, or bilirubin level",Side effect of drug,"The medication dysregulates fluid and electrolyte balance and promotes fluid retention in various organs. It can present as an irregular heart rhythm, high or low blood pressure, weakness, muscle cramps, dizziness, fainting spells, frequent urination, gout, increased thirst, fatigue, nausea, dry mouth, constipation, and sexual dysfunction. It can cause brain and nervous system issues -- confusion, psychosis, anxiety, depression, paranoia, suicide ideations, gait imbalance, psychomotor dysfunction, or headache -- and increase the risk of fracture, falls, diabetes, dementia, enlarged prostate, stroke, heart attack, and all-cause mortality.",T88.7XXA,69449002,,
Analegsics and fever reducer,acetaminophen,"dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, cardiac CRP, vitamin D, or bilirubin level",Adverse effect of 4-aminophenol derivative,"The medication's metabolite iminoquinone can damages liver cells. This can. cause various symptoms, such as nausea, dark urine, loss of appetite, yellow eyes or skin, bleeding gums, abdominal pain, cough, diarrhea, dizziness, sweating, confusion, chest pain, rash, peeling/blistering skin, difficulty swallowing or breathing, and weakness; and increase the risk of multiorgan damage and autoimmune disorders (i.e., inflammatory bowel diseases).",T39.1X5A,419287006,,
Analegsics and immunosuppressants: adrenal cortical steroids,"Budesonide, Betamethasone, Methylprednisolone, Beclometasone, Dexamethasone, Prednisolone, Cortisone, Mometasone, Prednisone, Triamcinolone, Ciclesonide, Fluticasone furoate, Hydrocortisone (Cortef, hydrocort), Amcinonide, Clobetasol,Clocortolone,Cortisone acetate, Deflazacort, Desonide, Diflorasone, Fluticasone propionate, Prednicarbate","dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, cardiac CRP, vitamin D, or bilirubin level",Steroid side effects,"The medication reduces fat breakdown, alters metabolic pathways, and raises blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer growth.",T38.0X5A,293141009,,
Analegsics and immunosuppressants: adrenal cortical steroids,alclometasone,"dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, BUN, total protein, CRP, hs-CRP, cardiac CRP, vitamin D, or bilirubin level",Adverse effect of alclometasone,"The medication reduces fat breakdown, alters metabolic pathways, and raises blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer growth.",T49.0X1A,293155001,,
Analegsics and immunosuppressants,Azathioprine (Imuran) and Mycophenolate mofetil (Cellcept),"dysfunctional or problematic organ issue; abnormal platelet or red blood cell count, hemoglobin, hematocrit, red blood cell (RBC), BUN, total protein, CRP, hs-CRP, cardia CRP, vitamin D, or bilirubin level",Adverse effect mycophenolate mofetil,"The medication reduces fat breakdown, alters metabolic pathways, and raises blood sugar levels. This can. cause various symptoms, such as headache, dizziness, muscle aches, weakness, and tenderness; digestive issues (i.e., constipation, diarrhea, gas, bloating, nausea or vomiting), sleep problems, skin flushing, confusion, and memory loss, and increase the risk of diabetes, obesity, genetic mutations, autoimmune disorders, cardiovascular complications, infections, and cancer growth.",T45.1X5A,292255000,,
